"arcs.from","arcs.to"
"N07muVerMo","CombVerMo"
"SubjVertMo","CombVerMo"
"QGVertMotion","CombVerMo"
"SatContMoist","CombMoisture"
"RaoContMoist","CombMoisture"
"VISCloudCov","CombClouds"
"IRCloudCover","CombClouds"
"Date","Scenario"
"LatestCIN","CurPropConv"
"LLIW","CurPropConv"
"CombVerMo","AreaMesoALS"
"Scenario","ScenRelAMCIN"
"Scenario","ScenRelAMIns"
"Scenario","ScenRel34"
"Scenario","ScnRelPlFcst"
"Scenario","Dewpoints"
"Scenario","LowLLapse"
"Scenario","MeanRH"
"Scenario","MidLLapse"
"Scenario","MvmtFeatures"
"Scenario","RHRatio"
"Scenario","SfcWndShfDis"
"Scenario","SynForcng"
"Scenario","TempDis"
"Scenario","WindAloft"
"Scenario","WindFieldMt"
"Scenario","WindFieldPln"
"AreaMesoALS","AreaMoDryAir"
"CombMoisture","AreaMoDryAir"
"ScenRelAMCIN","AMCINInScen"
"MorningCIN","AMCINInScen"
"ScenRelAMIns","AMInsWliScen"
"LIfr12ZDENSd","AMInsWliScen"
"AMDewptCalPl","AMInsWliScen"
"AreaMesoALS","CldShadeOth"
"AreaMoDryAir","CldShadeOth"
"CombClouds","CldShadeOth"
"CldShadeOth","InsInMt"
"AMInstabMt","InsInMt"
"InsInMt","OutflowFrMt"
"WndHodograph","OutflowFrMt"
"InsInMt","CldShadeConv"
"WndHodograph","CldShadeConv"
"InsInMt","MountainFcst"
"WndHodograph","Boundaries"
"OutflowFrMt","Boundaries"
"MorningBound","Boundaries"
"ScenRel34","N34StarFcst"
"PlainsFcst","N34StarFcst"
"AreaMesoALS","CompPlFcst"
"CldShadeOth","CompPlFcst"
"Boundaries","CompPlFcst"
"CldShadeConv","CompPlFcst"
"CompPlFcst","CapChange"
"CompPlFcst","InsChange"
"LoLevMoistAd","InsChange"
"CapChange","CapInScen"
"AMCINInScen","CapInScen"
"InsChange","InsSclInScen"
"AMInsWliScen","InsSclInScen"
"MountainFcst","R5Fcst"
"N34StarFcst","R5Fcst"
"CapInScen","PlainsFcst"
"InsSclInScen","PlainsFcst"
"CurPropConv","PlainsFcst"
"ScnRelPlFcst","PlainsFcst"
